id,message,label,scam_type,source_channel,language,contains_url,contains_amount,expected_risk,notes
MSG-0037,Electricity connection will be disconnected tonight. Pay bill immediately at http://bank-kyc-update.invalid,scam,electricity_bill_scam,whatsapp,en,yes,no,medium,synthetic_training_example
MSG-0038,Crypto trading group gives assured profit. Join using http://reward-claim-now.fake and deposit now.,scam,investment_scam,email,en,yes,no,medium,synthetic_training_example
MSG-0039,KSEB payment failed. Share UPI PIN to restore connection.,scam,electricity_bill_scam,whatsapp,en,no,no,medium,synthetic_training_example
MSG-0040,Electricity department notice: pay reconnection charge ₹299 now.,scam,electricity_bill_scam,sms,en,no,yes,medium,synthetic_training_example
MSG-0041,Your OTP for login is 498290. Do not share it with anyone.,safe,none,sms,en,no,no,low,safe_banking
MSG-0042,Registration fee pending. Pay ₹199 today to unlock your reward.,scam,advance_fee_fraud,whatsapp,en,no,yes,high,synthetic_training_example
MSG-0043,Your shipment is suspended. Confirm PAN and address here http://sbi-verify-login.fake,scam,delivery_scam,sms,en,yes,no,high,synthetic_training_example
MSG-0044,Virus detected in your phone. Download cleaner app from http://reward-claim-now.fake,scam,tech_support_scam,sms,en,yes,no,high,synthetic_training_example
MSG-0045,Your card payment of ₹1499 at DMart was successful.,safe,none,sms,en,no,yes,low,safe_banking
MSG-0046,HR team approved your profile. Transfer ₹199 for document verification.,scam,job_scam,whatsapp,en,no,yes,medium,synthetic_training_example
MSG-0047,"Hi Priya, are we still meeting at 4 PM today?",safe,none,whatsapp,en,no,no,low,safe_meeting
MSG-0048,Final notice: your prize will expire today. Click http://login-security-check.test to receive money.,scam,fake_reward,sms,en,yes,no,high,synthetic_training_example
MSG-0049,"I am stuck at airport. Send ₹50000 now, cannot call.",scam,social_engineering,sms,en,no,yes,high,synthetic_training_example
MSG-0050,The project sync has moved to 2 PM. Please join the usual meeting link.,safe,none,email,en,no,no,low,safe_meeting
MSG-0051,KSEB payment failed. Share UPI PIN to restore connection.,scam,electricity_bill_scam,whatsapp,en,no,no,high,synthetic_training_example
MSG-0052,We are from customer care. Tell us your OTP to confirm account ownership.,scam,otp_theft,sms,en,no,no,high,synthetic_training_example
MSG-0053,"Dear customer, update KYC details urgently using http://login-security-check.test. Failure may block UPI services.",scam,kyc_phishing,email,en,yes,no,high,synthetic_training_example
MSG-0054,Part-time task job available. Deposit ₹499 to activate your employee ID.,scam,job_scam,sms,en,no,yes,medium,synthetic_training_example
MSG-0055,Your refund of ₹10000 has been processed to your original payment method.,safe,none,sms,en,no,yes,low,safe_ecommerce
MSG-0056,Work from home job. Earn ₹5000 daily. Pay ₹299 registration fee to start.,scam,job_scam,email,en,no,yes,high,synthetic_training_example
MSG-0057,"New login detected on your account. If this was not you, change your password from the official app.",safe,none,email,en,no,no,low,safe_security_alert
MSG-0058,Your return pickup is scheduled for tomorrow between 2 PM and 10 AM.,safe,none,sms,en,no,no,low,safe_ecommerce
MSG-0059,Courier authority requires PAN update immediately at http://parcel-clearance-pay.invalid.,scam,impersonation,email,en,yes,no,high,synthetic_training_example
MSG-0060,Your device is infected. Call support immediately and install remote access app.,scam,tech_support_scam,whatsapp,en,no,no,high,synthetic_training_example
MSG-0061,Your appointment with Dr. Sen is confirmed for Monday at 6:30 PM.,safe,none,sms,en,no,no,low,safe_health
MSG-0062,Your package from Flipkart is out for delivery today. Track it in the official app.,safe,none,sms,en,no,no,low,safe_delivery
MSG-0063,Your appointment with Dr. Das is confirmed for 28 May at 10 AM.,safe,none,sms,en,no,no,low,safe_health
MSG-0064,Your refund is ready. Provide OTP and PIN to release ₹50000.,scam,otp_theft,sms,en,no,yes,high,synthetic_training_example
MSG-0065,We are from customer care. Tell us your OTP to confirm account ownership.,scam,otp_theft,sms,en,no,no,high,synthetic_training_example
MSG-0066,Invest ₹2500 and receive fixed daily profit. No risk. Contact now.,scam,investment_scam,whatsapp,en,no,yes,medium,synthetic_training_example
MSG-0067,Your electricity bill of ₹999 is due on 28 May. Pay using the official app.,safe,none,sms,en,no,yes,low,safe_utility
MSG-0068,Final warning: electricity supply suspended in 2 hours. Update payment here http://login-security-check.test,scam,electricity_bill_scam,whatsapp,en,yes,no,medium,synthetic_training_example
MSG-0069,Send your password and OTP for urgent security verification.,scam,otp_theft,whatsapp,en,no,no,high,synthetic_training_example
MSG-0070,Your refund is ready. Provide OTP and PIN to release ₹25000.,scam,otp_theft,email,en,no,yes,high,synthetic_training_example
MSG-0071,Payment received for your broadband bill. Thank you.,safe,none,sms,en,no,no,low,safe_utility
MSG-0072,Transfer ₹799 processing fee first. Your grant payment will be credited after verification.,scam,advance_fee_fraud,whatsapp,en,no,yes,high,synthetic_training_example
MSG-0073,Your return pickup is scheduled for tomorrow between 10 AM and 4 PM.,safe,none,sms,en,no,no,low,safe_ecommerce
MSG-0074,Your return pickup is scheduled for tomorrow between 6:30 PM and 2 PM.,safe,none,sms,en,no,no,low,safe_ecommerce
MSG-0075,Loan disbursal pending due to verification. Transfer ₹2499 now.,scam,loan_scam,email,en,no,yes,high,synthetic_training_example
MSG-0076,"Hi Priya, are we still meeting at 10 AM today?",safe,none,whatsapp,en,no,no,low,safe_meeting
MSG-0077,Government subsidy approved. Upload Aadhaar and pay ₹199 verification fee.,scam,impersonation,whatsapp,en,no,yes,high,synthetic_training_example
MSG-0078,Your ICICI order #402099 has been delivered successfully.,safe,none,sms,en,no,no,low,safe_delivery
MSG-0079,Invest ₹1000000 and receive fixed daily profit. No risk. Contact now.,scam,investment_scam,sms,en,no,yes,medium,synthetic_training_example
MSG-0080,"New login detected on your account. If this was not you, change your password from the official app.",safe,none,email,en,no,no,low,safe_security_alert
MSG-0081,Your refund of ₹500000 has been processed to your original payment method.,safe,none,sms,en,no,yes,low,safe_ecommerce
MSG-0082,Virus detected in your phone. Download cleaner app from http://parcel-clearance-pay.invalid,scam,tech_support_scam,whatsapp,en,yes,no,high,synthetic_training_example
MSG-0083,Your card payment of ₹500000 at BigBasket was successful.,safe,none,sms,en,no,yes,low,safe_banking
MSG-0084,Payment received for your broadband bill. Thank you.,safe,none,sms,en,no,no,low,safe_utility
MSG-0085,Your monthly subscription renewal for Spotify is successful.,safe,none,email,en,no,no,low,safe_subscription
MSG-0086,Your monthly subscription renewal for Microsoft 365 is successful.,safe,none,email,en,no,no,low,safe_subscription
MSG-0087,Limited stock tip. Send ₹299 to get insider recommendation before market opens.,scam,investment_scam,email,en,no,yes,medium,synthetic_training_example
MSG-0088,Courier package waiting. Pay redelivery fee ₹999 to avoid return: http://customer-care-help.invalid,scam,delivery_scam,whatsapp,en,yes,yes,medium,synthetic_training_example
MSG-0089,Part-time task job available. Deposit ₹199 to activate your employee ID.,scam,job_scam,whatsapp,en,no,yes,medium,synthetic_training_example
MSG-0090,Part-time task job available. Deposit ₹299 to activate your employee ID.,scam,job_scam,email,en,no,yes,medium,synthetic_training_example
MSG-0091,Security team needs your screen sharing code to remove malware.,scam,tech_support_scam,email,en,no,no,high,synthetic_training_example
MSG-0092,Your friend is in hospital. Transfer ₹1000000 immediately for treatment.,scam,social_engineering,sms,en,no,yes,high,synthetic_training_example
MSG-0093,School fee receipt for ₹50000 has been generated successfully.,safe,none,email,en,no,yes,low,safe_school
MSG-0094,Complete bank KYC within 6 hours or your debit card will be locked: http://bank-kyc-update.invalid,scam,kyc_phishing,email,en,yes,no,high,synthetic_training_example
MSG-0095,Your refund of ₹1000000 has been processed to your original payment method.,safe,none,sms,en,no,yes,low,safe_ecommerce
MSG-0096,"Hi Amit, are we still meeting at 4 PM today?",safe,none,whatsapp,en,no,no,low,safe_meeting
MSG-0097,"Rahul, please review the document before today's standup.",safe,none,email,en,no,no,low,safe_office
MSG-0098,Congratulations! You won ₹2500 in PhonePe lucky draw. Pay ₹999 processing fee to claim.,scam,fake_reward,sms,en,no,yes,medium,synthetic_training_example
MSG-0099,Your power bill is overdue. Contact officer and pay ₹2499 to avoid disconnection.,scam,electricity_bill_scam,whatsapp,en,no,yes,medium,synthetic_training_example
MSG-0100,Your account statement for this month is ready in the official banking app.,safe,none,email,en,no,no,low,safe_bank_alert
MSG-0101,Your refund of ₹500000 has been processed to your original payment method.,safe,none,sms,en,no,yes,low,safe_ecommerce
MSG-0102,"I lost my phone. Send money to this UPI urgently, I will return tomorrow.",scam,social_engineering,sms,en,no,no,medium,synthetic_training_example
MSG-0103,"Congratulations, you are selected without interview. Pay onboarding kit fee ₹199.",scam,job_scam,email,en,no,yes,high,synthetic_training_example
MSG-0104,Send small refundable fee ₹999 to confirm your beneficiary account.,scam,advance_fee_fraud,whatsapp,en,no,yes,high,synthetic_training_example
MSG-0105,Your account statement for this month is ready in the official banking app.,safe,none,email,en,no,no,low,safe_bank_alert
MSG-0106,The project sync has moved to 11:30 AM. Please join the usual meeting link.,safe,none,email,en,no,no,low,safe_meeting
MSG-0107,Income Tax refund blocked. Submit bank details here http://parcel-clearance-pay.invalid to release money.,scam,impersonation,sms,en,yes,no,high,synthetic_training_example
MSG-0108,Your card payment of ₹1499 at Apollo Pharmacy was successful.,safe,none,sms,en,no,yes,low,safe_banking
MSG-0109,Payment received for your broadband bill. Thank you.,safe,none,sms,en,no,no,low,safe_utility
MSG-0110,Your monthly subscription renewal for Spotify is successful.,safe,none,email,en,no,no,low,safe_subscription
MSG-0111,KSEB payment failed. Share UPI PIN to restore connection.,scam,electricity_bill_scam,whatsapp,en,no,no,medium,synthetic_training_example
MSG-0112,Your salary of ₹50000 has been credited to your bank account ending 5351.,safe,none,sms,en,no,yes,low,safe_banking
MSG-0113,We are from customer care. Tell us your OTP to confirm account ownership.,scam,otp_theft,whatsapp,en,no,no,high,synthetic_training_example
MSG-0114,Your shipment is suspended. Confirm PAN and address here http://customer-care-help.invalid,scam,delivery_scam,whatsapp,en,yes,no,high,synthetic_training_example
MSG-0115,Your monthly subscription renewal for Spotify is successful.,safe,none,email,en,no,no,low,safe_subscription
MSG-0116,Online typing job guaranteed income. Submit Aadhaar and pay registration fee here: http://login-security-check.test,scam,job_scam,sms,en,yes,no,medium,synthetic_training_example
MSG-0117,Your return pickup is scheduled for tomorrow between 6:30 PM and 4 PM.,safe,none,sms,en,no,no,low,safe_ecommerce
MSG-0118,Payment received for your broadband bill. Thank you.,safe,none,sms,en,no,no,low,safe_utility
MSG-0119,Share your OTP 914617 immediately to stop account suspension.,scam,otp_theft,email,en,no,no,high,synthetic_training_example
MSG-0120,Please keep this confidential and pay vendor today using this account.,scam,social_engineering,sms,en,no,no,medium,synthetic_training_example
MSG-0121,I am your manager. Buy gift cards worth ₹5000 urgently and send codes.,scam,social_engineering,whatsapp,en,no,yes,high,synthetic_training_example
MSG-0122,We are from customer care. Tell us your OTP to confirm account ownership.,scam,otp_theft,sms,en,no,no,high,synthetic_training_example
MSG-0123,Your appointment with Dr. Das is confirmed for 15 June at 11:30 AM.,safe,none,sms,en,no,no,low,safe_health
MSG-0124,Payment received for your broadband bill. Thank you.,safe,none,sms,en,no,no,low,safe_utility
MSG-0125,Delivery failed due to incomplete address. Update details urgently: http://sbi-verify-login.fake,scam,delivery_scam,email,en,yes,no,medium,synthetic_training_example
MSG-0126,Microsoft security alert: your computer is hacked. Click http://upi-block-alert.fake to fix now.,scam,tech_support_scam,email,en,yes,no,high,synthetic_training_example
MSG-0127,Your electricity bill of ₹100000 is due on 28 May. Pay using the official app.,safe,none,sms,en,no,yes,low,safe_utility
MSG-0128,"New login detected on your account. If this was not you, change your password from the official app.",safe,none,email,en,no,no,low,safe_security_alert
MSG-0129,Package from overseas blocked by customs. Immediate payment required: http://secure-account-check.test,scam,delivery_scam,email,en,yes,no,medium,synthetic_training_example
MSG-0130,Your mobile number won a lottery prize of ₹999. Transfer ₹499 registration fee now.,scam,fake_reward,email,en,no,yes,high,synthetic_training_example
MSG-0131,Your salary of ₹500000 has been credited to your bank account ending 6437.,safe,none,sms,en,no,yes,low,safe_banking
MSG-0132,Claim your cashback reward before midnight: http://secure-account-check.test,scam,fake_reward,sms,en,yes,no,medium,synthetic_training_example
MSG-0133,Pay ₹2499 verification charge to release your approved loan amount of ₹50000.,scam,advance_fee_fraud,whatsapp,en,no,yes,high,synthetic_training_example
MSG-0134,Your card payment of ₹100000 at DMart was successful.,safe,none,sms,en,no,yes,low,safe_banking
MSG-0135,Your account statement for this month is ready in the official banking app.,safe,none,email,en,no,no,low,safe_bank_alert
MSG-0136,Your shipment is suspended. Confirm PAN and address here http://customer-care-help.invalid,scam,delivery_scam,whatsapp,en,yes,no,high,synthetic_training_example
MSG-0137,Online typing job guaranteed income. Submit Aadhaar and pay registration fee here: http://customer-care-help.invalid,scam,job_scam,whatsapp,en,yes,no,high,synthetic_training_example
MSG-0138,Limited stock tip. Send ₹999 to get insider recommendation before market opens.,scam,investment_scam,whatsapp,en,no,yes,medium,synthetic_training_example
MSG-0139,"Rahul, please review the document before today's standup.",safe,none,email,en,no,no,low,safe_office
MSG-0140,Payment received for your broadband bill. Thank you.,safe,none,sms,en,no,no,low,safe_utility
MSG-0141,Your account statement for this month is ready in the official banking app.,safe,none,email,en,no,no,low,safe_bank_alert
MSG-0142,Your refund of ₹1000000 has been processed to your original payment method.,safe,none,sms,en,no,yes,low,safe_ecommerce
MSG-0143,School fee receipt for ₹500000 has been generated successfully.,safe,none,email,en,no,yes,low,safe_school
MSG-0144,Your shipment is suspended. Confirm PAN and address here http://bank-kyc-update.invalid,scam,delivery_scam,whatsapp,en,yes,no,high,synthetic_training_example
MSG-0145,Courier authority requires PAN update immediately at http://customer-care-help.invalid.,scam,impersonation,whatsapp,en,yes,no,high,synthetic_training_example
MSG-0146,Microsoft security alert: your computer is hacked. Click http://sbi-verify-login.fake to fix now.,scam,tech_support_scam,email,en,yes,no,high,synthetic_training_example
MSG-0147,School fee receipt for ₹500000 has been generated successfully.,safe,none,email,en,no,yes,low,safe_school
MSG-0148,Government subsidy approved. Upload Aadhaar and pay ₹999 verification fee.,scam,impersonation,whatsapp,en,no,yes,high,synthetic_training_example
MSG-0149,Reminder: your leave request has been approved by your manager.,safe,none,email,en,no,no,low,safe_office
MSG-0150,Your refund of ₹1499 has been processed to your original payment method.,safe,none,sms,en,no,yes,low,safe_ecommerce
MSG-0151,Loan disbursal pending due to verification. Transfer ₹499 now.,scam,loan_scam,whatsapp,en,no,yes,high,synthetic_training_example
MSG-0152,The project sync has moved to 6:30 PM. Please join the usual meeting link.,safe,none,email,en,no,no,low,safe_meeting
MSG-0153,Your appointment with Dr. Sharma is confirmed for 28 May at 6:30 PM.,safe,none,sms,en,no,no,low,safe_health
MSG-0154,Your email account will be disabled. Verify password at http://secure-account-check.test,scam,tech_support_scam,sms,en,yes,no,high,synthetic_training_example
MSG-0155,Your Axis order #299834 has been delivered successfully.,safe,none,sms,en,no,no,low,safe_delivery
MSG-0156,"Ravi, please review the document before today's standup.",safe,none,email,en,no,no,low,safe_office
MSG-0157,Your return pickup is scheduled for tomorrow between 11:30 AM and 10 AM.,safe,none,sms,en,no,no,low,safe_ecommerce
MSG-0158,Your card payment of ₹100000 at DMart was successful.,safe,none,sms,en,no,yes,low,safe_banking
MSG-0159,Final notice: your prize will expire today. Click http://parcel-clearance-pay.invalid to receive money.,scam,fake_reward,email,en,yes,no,high,synthetic_training_example
MSG-0160,Low interest personal loan approved. Processing fee required before disbursal.,scam,loan_scam,whatsapp,en,no,no,high,synthetic_training_example
MSG-0161,Your card payment of ₹50000 at Swiggy was successful.,safe,none,sms,en,no,yes,low,safe_banking
MSG-0162,Your flight check-in is now open. Use the airline website or app.,safe,none,email,en,no,no,low,safe_travel
MSG-0163,Your flight check-in is now open. Use the airline website or app.,safe,none,email,en,no,no,low,safe_travel
MSG-0164,Reminder: your leave request has been approved by your manager.,safe,none,email,en,no,no,low,safe_office
MSG-0165,Your device is infected. Call support immediately and install remote access app.,scam,tech_support_scam,sms,en,no,no,high,synthetic_training_example
MSG-0166,Work from home job. Earn ₹50000 daily. Pay ₹299 registration fee to start.,scam,job_scam,email,en,no,yes,high,synthetic_training_example
MSG-0167,Your mobile number won a lottery prize of ₹999. Transfer ₹299 registration fee now.,scam,fake_reward,sms,en,no,yes,high,synthetic_training_example
MSG-0168,The project sync has moved to 6:30 PM. Please join the usual meeting link.,safe,none,email,en,no,no,low,safe_meeting
MSG-0169,Final warning: electricity supply suspended in 2 hours. Update payment here http://customer-care-help.invalid,scam,electricity_bill_scam,whatsapp,en,yes,no,high,synthetic_training_example
MSG-0170,School fee receipt for ₹5000 has been generated successfully.,safe,none,email,en,no,yes,low,safe_school
MSG-0171,Final notice: your prize will expire today. Click http://sbi-verify-login.fake to receive money.,scam,fake_reward,sms,en,yes,no,medium,synthetic_training_example
MSG-0172,Your flight check-in is now open. Use the airline website or app.,safe,none,email,en,no,no,low,safe_travel
MSG-0173,Your account statement for this month is ready in the official banking app.,safe,none,email,en,no,no,low,safe_bank_alert
MSG-0174,Security team needs your screen sharing code to remove malware.,scam,tech_support_scam,sms,en,no,no,high,synthetic_training_example
MSG-0175,Reminder: your leave request has been approved by your manager.,safe,none,email,en,no,no,low,safe_office
MSG-0176,Your shipment is suspended. Confirm PAN and address here http://secure-account-check.test,scam,delivery_scam,whatsapp,en,yes,no,medium,synthetic_training_example
MSG-0177,Loan disbursal pending due to verification. Transfer ₹299 now.,scam,loan_scam,whatsapp,en,no,yes,high,synthetic_training_example
MSG-0178,Your appointment with Dr. Das is confirmed for 15 June at 11:30 AM.,safe,none,sms,en,no,no,low,safe_health
MSG-0179,"New login detected on your account. If this was not you, change your password from the official app.",safe,none,email,en,no,no,low,safe_security_alert
MSG-0180,Your package from Myntra is out for delivery today. Track it in the official app.,safe,none,sms,en,no,no,low,safe_delivery
MSG-0181,Pay ₹1499 verification charge to release your approved loan amount of ₹999.,scam,advance_fee_fraud,sms,en,no,yes,high,synthetic_training_example
MSG-0182,HR team approved your profile. Transfer ₹2499 for document verification.,scam,job_scam,email,en,no,yes,medium,synthetic_training_example
MSG-0183,Your account statement for this month is ready in the official banking app.,safe,none,email,en,no,no,low,safe_bank_alert
MSG-0184,Virus detected in your phone. Download cleaner app from http://bank-kyc-update.invalid,scam,tech_support_scam,whatsapp,en,yes,no,high,synthetic_training_example
MSG-0185,Payment received for your broadband bill. Thank you.,safe,none,sms,en,no,no,low,safe_utility
MSG-0186,Your card payment of ₹100000 at BigBasket was successful.,safe,none,sms,en,no,yes,low,safe_banking
MSG-0187,Crypto trading group gives assured profit. Join using http://gov-refund-portal.test and deposit now.,scam,investment_scam,whatsapp,en,yes,no,medium,synthetic_training_example
MSG-0188,Crypto trading group gives assured profit. Join using http://reward-claim-now.fake and deposit now.,scam,investment_scam,whatsapp,en,yes,no,high,synthetic_training_example
MSG-0189,Your refund of ₹2500 has been processed to your original payment method.,safe,none,sms,en,no,yes,low,safe_ecommerce
MSG-0190,Your OTP for login is 904150. Do not share it with anyone.,safe,none,sms,en,no,no,low,safe_banking
MSG-0191,Your salary of ₹5000 has been credited to your bank account ending 3697.,safe,none,sms,en,no,yes,low,safe_banking
MSG-0192,Reminder: your leave request has been approved by your manager.,safe,none,email,en,no,no,low,safe_office
MSG-0193,Your monthly subscription renewal for Google One is successful.,safe,none,email,en,no,no,low,safe_subscription
MSG-0194,Your monthly subscription renewal for Google One is successful.,safe,none,email,en,no,no,low,safe_subscription
MSG-0195,Your electricity bill of ₹2500 is due on Friday. Pay using the official app.,safe,none,sms,en,no,yes,low,safe_utility
MSG-0196,Claim your cashback reward before midnight: http://parcel-clearance-pay.invalid,scam,fake_reward,sms,en,yes,no,medium,synthetic_training_example
MSG-0197,"Dear customer, update KYC details urgently using http://bank-kyc-update.invalid. Failure may block UPI services.",scam,kyc_phishing,whatsapp,en,yes,no,high,synthetic_training_example
MSG-0198,Your flight check-in is now open. Use the airline website or app.,safe,none,email,en,no,no,low,safe_travel
MSG-0199,Your electricity bill of ₹50000 is due on Monday. Pay using the official app.,safe,none,sms,en,no,yes,low,safe_utility
MSG-0200,"Avick, please review the document before today's standup.",safe,none,email,en,no,no,low,safe_office
MSG-0201,Payment received for your broadband bill. Thank you.,safe,none,sms,en,no,no,low,safe_utility
MSG-0202,"Hi Ravi, are we still meeting at 6:30 PM today?",safe,none,whatsapp,en,no,no,low,safe_meeting
MSG-0203,Bank verification pending. Send OTP to this number to activate your card.,scam,otp_theft,whatsapp,en,no,no,high,synthetic_training_example
MSG-0204,Your cab booking is confirmed. Driver details will be shared before pickup.,safe,none,sms,en,no,no,low,safe_travel
MSG-0205,Your parcel is held at customs. Pay ₹999 clearance charge here: http://customer-care-help.invalid,scam,delivery_scam,whatsapp,en,yes,yes,medium,synthetic_training_example
MSG-0206,Your electricity bill of ₹100000 is due on Friday. Pay using the official app.,safe,none,sms,en,no,yes,low,safe_utility
MSG-0207,Delivery failed due to incomplete address. Update details urgently: http://login-security-check.test,scam,delivery_scam,email,en,yes,no,high,synthetic_training_example
MSG-0208,Your flight check-in is now open. Use the airline website or app.,safe,none,email,en,no,no,low,safe_travel
MSG-0209,Your package from Flipkart is out for delivery today. Track it in the official app.,safe,none,sms,en,no,no,low,safe_delivery
MSG-0210,School fee receipt for ₹1499 has been generated successfully.,safe,none,email,en,no,yes,low,safe_school
MSG-0211,Your mobile number won a lottery prize of ₹25000. Transfer ₹499 registration fee now.,scam,fake_reward,email,en,no,yes,medium,synthetic_training_example
MSG-0212,Your device is infected. Call support immediately and install remote access app.,scam,tech_support_scam,whatsapp,en,no,no,high,synthetic_training_example
MSG-0213,Your account statement for this month is ready in the official banking app.,safe,none,email,en,no,no,low,safe_bank_alert
MSG-0214,Government subsidy approved. Upload Aadhaar and pay ₹299 verification fee.,scam,impersonation,whatsapp,en,no,yes,high,synthetic_training_example
MSG-0215,Your electricity bill of ₹999 is due on Monday. Pay using the official app.,safe,none,sms,en,no,yes,low,safe_utility
MSG-0216,Your electricity bill of ₹1000000 is due on 15 June. Pay using the official app.,safe,none,sms,en,no,yes,low,safe_utility
MSG-0217,Your salary of ₹10000 has been credited to your bank account ending 8551.,safe,none,sms,en,no,yes,low,safe_banking
MSG-0218,Your OTP for login is 316881. Do not share it with anyone.,safe,none,sms,en,no,no,low,safe_banking
MSG-0219,Police cyber cell notice: pay fine ₹199 today or legal action will start.,scam,impersonation,sms,en,no,yes,high,synthetic_training_example
MSG-0220,Your return pickup is scheduled for tomorrow between 4 PM and 10 AM.,safe,none,sms,en,no,no,low,safe_ecommerce
MSG-0221,Your bank account will be blocked today. Click http://sbi-verify-login.fake immediately to update your KYC.,scam,kyc_phishing,email,en,yes,no,high,synthetic_training_example
MSG-0222,Your email account will be disabled. Verify password at http://bank-kyc-update.invalid,scam,tech_support_scam,sms,en,yes,no,high,synthetic_training_example
MSG-0223,The project sync has moved to 10 AM. Please join the usual meeting link.,safe,none,email,en,no,no,low,safe_meeting
MSG-0224,"New login detected on your account. If this was not you, change your password from the official app.",safe,none,email,en,no,no,low,safe_security_alert
MSG-0225,Your OTP for login is 820426. Do not share it with anyone.,safe,none,sms,en,no,no,low,safe_banking
MSG-0226,Final notice: your prize will expire today. Click http://upi-block-alert.fake to receive money.,scam,fake_reward,whatsapp,en,yes,no,medium,synthetic_training_example
MSG-0227,Your salary of ₹500000 has been credited to your bank account ending 2684.,safe,none,sms,en,no,yes,low,safe_banking
MSG-0228,Your account statement for this month is ready in the official banking app.,safe,none,email,en,no,no,low,safe_bank_alert
MSG-0229,The project sync has moved to 6:30 PM. Please join the usual meeting link.,safe,none,email,en,no,no,low,safe_meeting
